Name,Start Time,End Time,Description,Price
b'AA Pioneer Athletics Hall of Fame Induction',2017-12-01T17:30:00,2017-12-01T20:30:00,"2017 AA PIONEER ATHLETICS HALL OF FAME INDUCTION
Honorees:

Lorin Cartwright - Athletic Trainer/Athletic Director
Paul Dimond - Tennis/Basketball/Golf
Debbie Haines Stephens - Volleyball/Basketball/Softball
Chuck Menefee - Football/Golf/Basketball
Jenni Pieper O'Farrell Diaz - Field Hockey/Softball

Intinerary:

5:30 PM Meet and Greet
6:00 PM Dinner
6:30 PM Induction Ceremony

Attire:

Business casual

Tickets:

No tickets will be sent, your name will be at the door the night of the event
Tax deduction forms will be at the door the night of the event


",Paid
"b""Screening of Stage Russia's Eugene Onegin""",2017-11-18T18:00:00,2017-11-18T22:00:00,"The University of Michigan is proud to present a free screening of Stage Russia's famous Eugene Onegin! 
November 18th, 6pm in the Modern Languages Building, room 1200.
Please RSVP via the attending option.
We look forward to seeing you there!
 
FAQs
 
How can I contact the organizer with any questions?
Please email slavic@umich.edu with any questions.
 
Do I have to bring my printed ticket to the event?
You do not. The event is free and open to the public.
 ",Free
b'25th Annual Primary Health Care of Women Conference',2017-12-14T07:30:00,2017-12-15T15:00:00,"Presented by the Department of Family Medicine at The University of Michigan Medical School, the 25th Annual Primary Health Care of Women Conference is a two-day, clinically-oriented course designed to explore the most recent topics in the diagnosis and treatment of common medical conditions in women. You may attend the full course or just one day. Early-bird discounts are available until November 22nd.
Course Objectives:


Implement best practice methods to improve the diagnosis and treatment of common medical conditions in women including, but not limited to breast, anal and endometrial cancer; bereavement issues; weight management; dental health; and health disparities.


Identify evidence-based health care practices in physical health including, but not limited to gynecology and oncology.


Identify methods to improve patient outcomes as they relate to addressing personal and primary health care needs.


Identify the methods to reduce health disparities in diagnosis and treatment of women and transgender patients.


Click here to view the full agenda. Note that there are plenary sessions each day of the conference, along with eight groups of concurrent workshops. As part of your registration, you will be asked to identify which workshops you plan to attend each day, but it is assumed that you will attend the plenary sessions.
Who should attend? This course is designed for health care professionals with diversified primary care practices, including but not limited to: family physicians, internists, obstetricians, gynecologists, physician assistants, nurse practitioners and nurses.
CME Credits: The University of Michigan Medical School is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.  The University of Michigan Medical School designates this live activity for a maximum of 13.0 AMA PRA Category 1 CreditsTM. Physicians should claim only the credit commensurate with the extent of their participation in the activity.
Registration Instructions and Cancellation Policy:

Select the appropriate registration category and complete the payment and agenda selections. Discounted fees are available for early bird registration.
If you are with Michigan Medicine, Mid-Michigan Medicine, Metro Health or alumni of the Michigan Medicine residency program, make sure to insert the discount code when prompted for a Promotional Code. If you need the promotion code, please contact Diane Drago at dragod@umich.edu.
You must pay by credit card in order to complete your online registration.  
If you need to cancel your registration, please contact Diane Drago at dragod@umich.edu. Cancellations received by December 4 may receive a refund less a $50 processing fee. Cancellations after December 4 will not be refunded.  

For questions:   Contact Diane Drago at dragod@umich.edu or 734-747-2746.
                                                            ",Paid
b'AIPG Michigan Section Annual Meeting & 40th Anniversary Celebration',2017-11-30T17:30:00,2017-11-30T21:00:00,"Join us to celebrate the Michigan Section's 40th Anniversary!
The Michigan Section is celebrating its 40th year and is inviting all members to attend the upcoming annual meeting for free.   In addition to dinner on AIPG, everyone in attendance will receive a special edition 40 year anniversary t-shirt!  Even though the event is free to members, we are asking that you sign up to select your dinner choice and t-shirt size. 
Non-members may join and pay the registration fee, please.  
Special Presentation:
The Science on Using the USDA Soil Classification for the Volatilization to Indoor Air Pathway
Featured Speaker: Matt Williams, Michigan Department of Environmental Quality
Abstract:  In the environmental industry, we most commonly log soils using the Unified Soil Classification System designating soils as well-graded sands, clayey gravels, silt, etc.  Many of us classify soils in the field through observation.  
With the emergence of the Volatilization to Indoor Air Pathway (VIAP) as a new driver on the contaminated properties we work on every day, characterization and evaluation is critical.  The science behind the characterization of soils and the equations used when evaluating the VIAP requires the classification of soils using the United States Department of Agriculture (USDA) soil classification that uses descriptions like loam, loamy sand, clay, etc.  This is a shift in practice from how many of us typically classify soils.  This presentation will help us understand the reason for using the USDA classification system, the differences between the two systems, and the methods for appropriately classifying soils based on the intended purpose for the data.
Student Poster Contest
AIPG student members are invited to bring their posters on their geologic research projects to compete for awards up to $1,000 cash in both undergraduate and graduate levels.  An AIPG member judging panel will review the posters and annouce the winners and hand out the awards at the end of the evening. We ask that students register and indicate whether you are entering the poster contest.
Students, don't miss this opportunity to show off your work!",Paid
"b'Venture Well Hacking Health Design Charrette, Nov 10-11'",2017-11-10T08:00:00,2017-11-11T18:00:00,"Hacking Health is a new program, that comprises of a design Charrette in Fall 2017 with a follow-up, cross-disciplinary product development design course in Winter 2018.
The aim of Hacking Health Design Charrette 2017 is to bring together cross-functional teams of undergraduate and graduate students, faculty, and researchers from the art & design, health, business, and engineering community to generate innovative solutions for preventative health monitoring in geriatric populations. The teams can then choose to leverage the Hacking Health winter course and U-M’s larger entrepreneurial ecosystem to move their ideas to market.
The Hacking Health Design charette will focus on developing ideas within the area of active health monitoring devices, hoping to lower barriers to effective in the geriatric patient populations. Participants will work in interdisciplinary teams (8 teams, 6-8 participants in each team, max 60 ppl) over a 2 day period. 
We will accept the first 40 students and will make every effort to balance the charette with representation across disciplines. You will be notified of your acceptance by November 1 at the latest.
Select tickets for the days you will attend. ",Free
"b""Erb Director's Happy Hour """,2017-11-09T18:00:00,2017-11-09T20:00:00,"Join us for a jovial community event!! Because of schedule conflicts with the regular Welcome Back dinner, the Erb Institute would like to invite you to join us for a Director's Happy Hour. 
This is a chance to meet and mingle with Director's Joe Arvai and Terry Nelidov, as well as Erb Staff, and fellow students. In addition, we will be presenting the Percy Community Service Awards and the Ajay Gupta Memorial Award. 
The Happy Hour will take place November 9, 2017 from 6:00-8:00 pm, in the Corner Commons. 
Drinks and appetizers will be provided. 
We look forward to seeing all of you!",Free
b'Christian Martin x Desert Hearts at Necto',2017-11-09T21:00:00,2017-11-10T01:00:00,"Necto presents...
Christian Martin x Desert Hearts [Mikey Lion | Lee Reynolds | Marbs | Porkchop]
Christian Martin's love affair with electronic music began in 1995, as an early attendee at Southern California's legendary Moontribe full moon desert parties. After absorbing late 90's club life in New York, London, and Los Angeles, Christian settled in San Francisco in the spring of 2000. He started playing records in 2002 under the tutelage of his brother, Justin Martin, armed with a stack of Justin's old vinyl and used Technics 1200's from Sammy D.
In 2003, inspired by the massive desert soundsystems of old, Christian founded the dirtybird soundsystem. Along with co-founders Justin Martin, Worthy, and Claude VonStroke, dirtybird's Sunday afternoon BBQ's have quickly become a Golden Gate Park institution.
____________________________________________________________________
Desert Hearts was manifested from an abundance of positive energy in November of 2012. Starting as a 200 person renegade gathering in the Mojave, we have grown tremendously, refining our abilities to produce world class house and techno gatherings. Home of Desert Hearts Records and our roaming City Hearts party series, we aim to spread as much love as humanly possible through music and art.
Desert Hearts started as a collaboration of San Diego based DJs Mikey Lion, Lee Reynolds, Marbs, Porkchop, and Deep Jesus alongside social influencer Christopher Kristoff. Together we put in all our love dedicating endless hours of our time to creating a beautiful place where we can gather and celebrate life through music and community.

Doors open at 9pm. 18 & over welcome with proper ID.
VIP services available. Contact: VIP@necto.com
Christian Martin : Watch | Listen | Talk | Meet | Peek
Desert Hearts : Watch | Listen | Talk | Meet | Peek",Paid
"b'A2F2 Event: Capturing Life in the Streets - Olympus Visionary, Mike Boening'",2017-11-11T13:00:00,2017-11-11T15:00:00,"The Photo Walk
In today's culture we're so busy with the daily hustle--we're constantly chasing deadlines, counting minutes, and struggling to keep up. Take a minute, breathe, and slow down. Take this FREE opportunity to join photographer and Olympus Visionary, Mike Boening, in slowing down and watching the street hustle unfold around you. Notice and capture the little moments you miss everyday because you're too busy hurrying to your next meeting, to pick up the kids, or to beat the traffic.
Mike will discuss some strategies he uses to capture dynamic images and explore how architecture can feature your subjects in new and interesting ways.

The Photographer
Mike commonly finds his inspiration on the streets of his hometown, Detroit, Michigan as well as any city he may travel too.  A travel junkie, Mike specializes in street and urban photography. Mike works to document life in daily situations making the most of what others might consider mundane.  He also works to create captivating images depicting urban environments at night with the Olympus Live Composite feature.  He is considered highly skilled in this area and loves to instruct on its many uses.
Over the years, he has worked with the Detroit Metro Convention Bureau, covering events as well as the Pure Michigan campaign for billboards around Michigan.  He writes for many gear blogs and has been featured on podcasts like Street Focus from T.W.I.P. and Out Of Chicago.  Mike shares his love of street photography by instructing and leading groups on urban photography in the Detroit area and major cities like Philadelphia, Atlanta, San Francisco, Chicago and Toronto…When Mike isn’t behind a camera, he’s in front of the camera serving as cohost of the biweekly video podcast, “Mirrorless Minutes” along with fellow Trailblazer, Jamie MacDonald.  
“Capturing images with Olympus gear has led to a dramatic change in my creativity and ability to create amazing images while supporting my motto of “Shoot Light | Shoot Often.”",Free
b'MBA Test Readiness Workshop 11-18-17',2017-11-18T09:00:00,2017-11-18T12:00:00,"MBA Test Readiness Workshop
Are you planning to apply to an MBA program , but dreading the standardized test requirement?  Don’t sweat - set yourself up for success on the GMAT or GRE exam!  Join us for free workshop conducted by the training experts at The Princeton Review, hosted here at the Ross School of Business.
 
Ross School of Business MBA Test Readiness Workshop
Saturday, November 18, 2017
9:00 am – 12:00 pm
Room R 1240
701 Tappan St., Ann Arbor, MI 48109",Free
b'A2F2 Event: Frame it Like a Pro: Landscapes and Cityscapes by Bryan Minear ',2017-11-11T10:00:00,2017-11-11T11:30:00,"The Presentation
Join Fujifilm X-Photographer Bryan Minear for a discussion about staying motivated and creative as a landscape and cityscape photographer, with principles that can be applied to any genre.  Bryan will discuss a range of technical topics including choosing the right lenses, training your eye for composition, utilizing ND filters, and the importance of post-processing.  Broader topics will also be covered such as the benefits of shooting more consistently, not having to travel to take great shots, and the positive/negative effects of social media.



Check out Bryan's Instagram for more: instagram.com/bryanminear

The Photographer

Bryan Minear, a Fujifilm X-Series Photographer and Delegate. 
Bryan Minear is a midwest-based designer, photographer, father, and pizza connosieur. From a young age Bryan was inspired by Ansel Adams' ethereal landscape work, which paved the direction he wanted to go as an artist. It took a lot of time and multiple detours along the way, but since 2015 Bryan has been pursuing landscape, lifestyle, and commercial photography as aggressively as one can while being a new father and still holding down a full-time job . His goal is to portray atmosphere and emotion through his work, whether he is shooting locally in the midwest or traveling to epic locations around the world. Most recently Bryan's image of the 2017 solar eclipse received viral attention, as it offered up a totally unique perspective of such a highly documented event. Bryan is an Official Fujifilm X-Photographer and a Vangaurd Professional Ambassador.

Where do I go?
Go to CameraMall (518 E Washington St, Ann Arbor, MI 48104). After confirming you're registered to attend, we'll escort you to The Michigan Theater Screening Room--we have a backdoor entrance right behind our store. The class will be held in The Michigan Theater Screening Room.
Having trouble finding us?
We've had a few people mention that they've had trouble finding our location.
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.
",Free
b'Michigan Football Alumni Network Annual Dues',2017-10-25T07:30:00,2018-03-31T23:30:00,"Annual dues help support the Michigan Football Alumni Network's mission to provide career and personal opportunities for former Michigan football players once their time as Michigan student-athletes is over. 
MFAN membership is open to all former University of Michigan players, current spouses and widows of former players, former coaches, managers, trainers and support staff with direct responsibilities to the Michigan Football team. 
Annual member dues are $50. Please click the green ""Tickets"" button to pay your dues.
Those able to do so are encouraged to also be a ""Dues Sponsor"" by paying the dues of a teammate or other MFAN-eligible member who may not be able to pay for themselves. Additional donations are also encouraged. 
MFAN, Inc. thanks you for being a part of our network.",Paid
b'Michigan Ross Master of Accounting Preview Day',2017-11-10T12:00:00,2017-11-10T18:30:00,"You're invited to explore the Michigan Ross Master of Accounting Program at our annual Preview Day!You will be given the unique opportunity to explore our program through: - Networking with current students and Ross faculty and staff - Learning about the curriculum, program experience and employment opportunities - Touring the Ross building, central campus and more!This event is limited to non-University of Michigan students/graduates interested in starting our program in the fall semester of 2018. Space is limited. To apply to attend Preview Day, please complete this online registration. Once your application has been reviewed, the Ross MAcc Program Staff will contact you to confirm your attendance.Appetizers & dinner will be provided. Please RSVP by Wednesday, Nov. 8th.",Free
b'NSF International 2018 FOG Prevention Conference',2018-02-27T08:00:00,2018-02-28T17:00:00,"NSF International will be hosting their 2nd annual FOG Prevention Conference February 27th-28th, 2018 at NSF International HQ in Ann Arbor Michigan. The conference will bring together experts from all over the world to present and discuss FOG prevention topics. Attendees include plumbing inspectors, ASPE members/officials, grease interceptor manufacturers, government regulators, city representatives, sensor technology manufacturers, FOG coordinators, standard bodies, State of Michigan representatives, environmental experts, and plumbing design/consulting firms.
In order to accommodate a larger group, this year's event will be held down the road from NSF at Washtenaw Community College's Towsley Auditorium.  A tour of NSF's facilities and grease interceptor testing rig will take place during the event, and transportation between Towsley Auditorium and NSF's Headquarters at 789 N. Dixboro Rd will be provided for those interested.
The conference is free to attend and meals will be provided. There will also be a reception networking event the night of the 27th.

 Display tables are available for no charge.

We are accepting submissions for speakers.
 
Please contact FOG@nsf.org with any questions.",Free
b'Ross BBA High School Student Information Session',2017-11-17T14:00:00,2017-11-17T15:30:00,"Visit us!  
High School students, parents, and family members are welcome to join us in an information session dedicated to the undergraduate experience at the Stephen M. Ross School of Business.  During this session you will learn more about the Bachelors of Business Administration (BBA) program through an interactive presentation, current student panel, and tour of the Ross building.
The Ross BBA Program is nationally known for our focus on action-based learning, leadership development, and global experiences.  We hope to see you on campus so that you can discover this experience yourself!
We also encourage you to take the day to visit the University of Michigan’s campus by attending an Office of Undergraduate Admissions information session and tour.  Please visit www.admissions.umich.edu to sign up for this central campus experience as well.
This Ross information session and tour will be held at the Stephen M. Ross School of Business in Blau Hall at 700 East University.  (Information sessions and tours provided by the University’s Office of Undergraduate Admissions will be held at the Student Activities Building, 515 E Jefferson Street, Ann Arbor, MI 48109.)  For assistance, please call 734-763-5796 or email rossundergrad@umich.edu.  ",Free
b'The Business of Being an Artist Speaker Series: Pricing Your Work for Profit',2017-11-14T18:00:00,2017-11-14T20:00:00,"Speaker: Michelle Massey Barnes of MMB Imagery, studio owner and lead photographer
Pricing your art product or service can be challenging. Michelle will help you evaluate pricing basics and the building blocks you need to get started or take it to the next level. You’ll leave with actionable strategies to help you price for profit.",Free
b'The Nutcracker - Saturday December 2 @ 7pm',2017-12-02T19:00:00,2017-12-02T20:30:00,"
Visions of sugar plums and flurries of snow will once again come to life on stage as The Randazzo Dance Company presents three performances of Tchaikovsky’s The Nutcracker at the Skyline High School auditorium in Ann Arbor. The show will run Saturday, December 2 and Sunday, December 3. This will be the Randazzo Dance Company's (formerly Ypsilanti Area Dancers) 49th annual performance and a return to a holiday tradition.*** Guest dancers from highly acclaimed BOSTON BALLET will be dancing in each performance!!!!***Join Clara on her enchanting journey with her Nutcracker gift-turned prince to the magical land of the sweets. Most memorable moments of this famous ballet include the battle of the mice and toy soldiers, the dance of the snowflakes and Mother Ginger with her enormous hoop skirt and her little gumdrops. Artistic Director, Sara Randazzo, assisted by Roya Panahi, Audrey Slough and Christine Sampier, have added new choreography to many numbers. Professional sets and costumes round out the superior quality of this Nutcracker production—making it a stand-out among local holiday performances.There will be a discounted rate for groups of 10 or more. Contact RDCTicketsales@gmail.com to reserve your group seats!Show times:Saturday, December 2: 2:00 and 7:00 p.m.Sunday, December 3: 2:00 p.m.The Patron donations are:$25 for Premium Seats$15 for Mid-Level Seats $10 for Gallery Seats
Tickets purchased on a mobile device will be auto assinged the best seat available. To pick your seat you must purchase on a laptop, tablet, or desktop device.Information about reserving seats will be available on our website soon.Questions? dancewithrdc@gmail.com",Paid
b'Don White',2017-12-01T20:00:00,2017-12-01T22:00:00,"Back by popular demand! Don White combines heartfelt, serious lyrics with side-splitting laughs to provide an evening not to be forgotten. This Massachusetts comedian/singer/songwriter/author is best-known in these parts for his radio gems, ""Rascal,"" ""Psycho Mom and Dad"" and ""I Know What Love Is.""  A Don White show promises to delight new audiences and devoted ""repeat offender"" fans, alike.
www.donwhite.net",Paid
b'MOQC WOW Fall 2017 Regional Meeting',2017-11-15T18:00:00,2017-11-15T20:00:00,"WOW Fall 2017 Regional Meeting
Meeting Date: 
Wednesday, November 15, 2017from 6:00 PM - 8:00 PM
Meeting location: 
North Campus Research Complex2800 Plymouth Road, Bldg 10 - Conf Rm G603 & G604Ann Arbor, Michigan 48109 You are invited to attend your region’s Fall 2017 MOQC MeetingTwo people – a physician and a practice or clinical representative – should register for this 2 hour working session which includes dinner.
Look for addtional MOQC communications regarding the sessions agenda items.
We are looking forward to seeing you! FAQsDo I have to bring my printed ticket to the event? There are no tickets for this dinner meeting, although MOQC will have you sign in to ensure that your practice will get BCBSM credit for attendance.Who is required to attend?A physician is required to attend, and is allowed to bring a clinical or practice manager or representative to the dinner meeting. A nurse practitioner or physician assistant cannot substitute for a physician.  If I want to add to the agenda, how can I do that?Please email us at CC-MOQC-TEAM@med.umich.edu a minimum of 48 hours prior to the meeting. We will make every attempt to incorporate feedback into the agenda. An alternative is to contact Louise Bedard, Program Manager @ 734.764.2860 or Mary at 734.232.0043. What happens if I need to cancel?You can send an alternative physician to represent your practice should you have a prior commitment, which is what MOQC would recommend, if possible. Otherwise, please contact Mary at 734.232.0043 as soon as you are aware that you can neither attend, nor find an alternate.",Free
b'Historic Preservation 101 for Real Estate Professionals: PART 2',2017-12-13T13:00:00,2017-12-13T15:00:00,"

Historic Preservation 101 for Real Estate Professionals:
PART 2
The Michigan Historic Preservation Network, in partnership with Washtenaw County, is providing a two-part class for real estate professionals! Earn up to four continuing education credits while becoming equipped with the necessary information to promote sales of older and historic properties. This class will be offered in two-hour intervals that may be combined into a full day, or taken separately.
There are many advantages of owning an older or historic home that potential property owners would benefit from knowing ahead of purchase. Part 2 of the class will discuss what to know about owning a building in a designated historic district, review current market trends, and provide information about the higher property values of locally designated buildings. 
Space is limited. An hour lunch break will be provided for attendees of both sessions from 12pm - 1pm. Light refreshments will be provided onsite, or attendees can leave the site for lunch, or they may bring their own lunches.
For questions, please contact Amanda at 906.250.6301 or reintjes@mhpn.org",Paid
b'Awakening the Dreamer Symposium',2017-11-12T13:30:00,2017-11-12T17:30:00,"The Awakening the Dreamer Symposium is a half-day workshop developed by the Pachamama Alliance that has been delivered by skilled Facilitators to hundreds of thousands of participants in over 80 countries since 2005. The November 12th symposium in Ann Arbor is co-sponsored by The Intentional Living Collective, The Interfaith Council for Peace and Justice, and The First Unitarian Universalist Congregation of Ann Arbor.

In Awakening the Dreamer, you'll look squarely at the state of the world—where we are and how we got here—and then explore what role you can play in bringing forth an environmentally sustainable, spiritually fulfilling, socially just human presence on this planet. Awakening the Dreamer was created in response to an invitation from the Achuar people of the Ecuadorian Amazon to work in partnership to shift the dominant culture of consumption and alienation to one that honors and sustains all life.

Open to the public.  This event is limited to the first 100 people registered on this eventrite page.
On-site check in begins at 1:00pm.

",Paid
"b'A2F2 Event: Shootout in the Alley with Sigma Lens Expert, Marc Farb'",2017-11-11T11:30:00,2017-11-11T13:00:00,"The Photo Event
What's the buzz about Sigma lenses? Why are the review sites and bloggers drooling over Sigma's brand new Art, Contemporary, and Sport lenses? Find out for yourself in this fun and informative listen, then shoot-style workshop. Please bring your Nikon, Canon, or Sony FE/E mount camera--we will be loaning out lenses for you to try for FREE.
We will be meeting at CameraMall and walking around the corner to Ann Arbor's famous Graffiti Alley where Sigma Lens Expert, Marc Farb, will be giving a brief presentation about Sigma's diverse lens selection, including their advantages and applications. Lenses are a lot like tools in a tool box, each with its own strength and specific purpose to be used in different situations. What's the next lens in your tool box?

The Photographer

Marc Farb is a technical representative for Sigma. For Marc, photography is more than just a job, or a way to earn a steady income, it’s a way of life. Even more, it’s the chance to capture special moments in time and show them off to the world in a way they may never get to see them. It’s his job to preserve a moment in time and evoke a reaction from people who view his images.
Marc’s father was a Type Setter in the printing industry way back at the cross over point from lead type to negative film. So there was never a shortage of film in the house. He was given his first camera at the age of 8 years old and by the time he was 14 he had his own darkroom.
He attended the College of Boca Raton in the mid 80’s where he studied Electrical engineering as a major with a minor in computer science. Being that the school was only a few miles from an IBM facility, most of his professors were also involved in projects that would later impact the photo industry in major ways.
Fast forward 25 years, and Marc eventually became a freelance commercial photographer. From there, he took a Tech Rep position with Olympus Imaging in for the first stop in his career in the photo industry. Since then he has worked with such companies as Xrite, Ilford, Mamiya, Prophoto, and Sekonic. Marc continues to do freelance work as well and one of his clients is a major hospital system in NY city area. His work for them has included a variety of assignments for them…from publicity portraits of patients and corporate events. He is also experienced in medical and surgical photography.
Currently Marc’s assignment includes technical application support from the corporate office, as well as extensive traveling for photo conventions and trade shows for Sigma. He is proficient in Photoshop and Lightroom on a PC and Mac.
His experiences over the years have allowed him to teach classes all around the US and Canada on photographic topics that range from pixel to print, and all points between.
Marc lives on Long Island with his wife and two lovely daughters.

Class is held at CameraMall 
Our address: 518 E Washington St, Ann Arbor, MI 48104
Having trouble finding us?
Our store is located in the building immediately to the east of the liberty square parking garage--we're right next door to Name Brand Tattoo and across the street from the First United Methodist Church. We have bright yellow Nikon awnings. We're located at the star in the image below. If you're still having trouble finding us, feel free to give us a call at 734-997-5031.
",Free
b'Menlo Factory Tour',2017-12-11T16:00:00,2017-12-11T17:30:00,"Join us for this 90-minute tour to explore how we created our joyful, award-winning work environment and to hear about the world-class products we have created for our clients. The session includes a walking tour of the Menlo Software Factory™ and time for Q&A with a tour guide.
DURATION: 90 minutesCOST: Free

Our public factory tours often fill quickly! If a Menlo Factory Tour isn't available on a date that's convenient for you, consider registering for the Joy, Inc. Factory Tour. You can also call or email us to learn more about other opportunities to visit the Software Factory.
The Menlo Software Factory™ is located at 505 E Liberty St, LL500, Ann Arbor, Michigan 48104.",Free
