Name,Start Time,End Time,Description,Price
b'Color Factory',2017-11-10T10:00:00,2017-11-10T20:30:00,"Welcome to Color Factory: A Pop-Up Experience in San Francisco. This two-story interactive exhibition celebrates color and material, featuring work by some of our favorite artists and collaborators: Jacob Dahlgren, Tom Stayte, Geronimo Balloons, Tosha Stimage, Stanton Jones, Andrew Neyer & Andy J. Miller, Carissa Potter, Jessica Hische, Rebecca Wright, Randi Brookman Harris, Leah Rosenberg and Erin Jang.Lose yourself in 10,000 colored ribbons, sink into a giant yellow ball pit, catch some rainbows, smell colorful memories, and taste a spectrum of treats from our favorite stops in San Francisco. The pinks will delight you, the blues will amaze you, the yellows might make you hungry.
Put on your favorite hue and come to us for color!
HOW MUCH ARE TICKETS?
General Admission: $35Children age 2 and under are free.
WHAT SHOULD I BRING?
Bring your ticket and an ID. ONE person's ID in your party must match the name on ONE ticket (the rest of the names are interchangeable).
CAN I PURCHASE TICKETS WHEN I GET THERE?
Nope. Please purchase tickets in advance as there aren't any tickets available at the door. Tickets are only available through our website. Tickets purchased on third party websites or through scalpers are not permitted.
CAN I TRANSFER MY TICKET?
Tickets are non-refundable and non-transferrable. ONE person's ID in your party must match the name on ONE ticket (the rest of the names are interchangeable). Tickets purchased on third party websites are not valid.
WHAT HAPPENS WHEN I CHECK IN?
Our team will double check your ticket and ID at the door. Once inside, you'll register for our photo booth system (so you'll have access to the photo booths throughout the exhibit) and will be required to sign a liability waiver.
HOW LONG DOES IT TAKE?
Visits to Color Factory last a little over an hour.
CAN I GO THROUGH THE EXHIBIT TWICE DURING MY VISIT?
You can take your time going through the exhibit. However, once you pass through a room, we ask that you don't re-enter the exhibit.
CAN MY CHILD COME WITHOUT ME?
Unfortunately, no. Minors under the age of 18 will need to be supervised by an adult.
CAN I BRING A STROLLER?
Strollers are not permitted in the exhibit, but there is a place you can store them while visiting.
DO YOU HAVE BATHROOMS?
Yes!
CAN I BRING IN MY LUNCH?
Unfortunately, food and drinks are not allowed inside the exhibit. Don't worry, there are treats inside!
WHERE IS COLOR FACTORY?
575 Sutter Street, San Francisco, California 94102
We are two blocks from Union Square on Sutter Street, between Mason Street and Powell Street. You can’t miss us. We’re accessible by the Bay Bridge, Golden Gate Bridge, Bart, MUNI, cable car, scooter, bike, and foot.",Paid
b'Yesware VIP Dreamforce Events',2017-11-06T11:00:00,2017-11-08T18:00:00,"

Are you registered for Dreamforce 2017?
If it’s not your first rodeo, you know sessions fill up fast.
Well, good news.
You don’t have to pass the time awkwardly sitting on the floor or hunting down an open outlet.
The Yesware office is right down the street at 711 Market St. (2 blocks from Moscone), and we’re serving up free perks:
Monday, Nov 6th - Wednesday, Nov 8th


30-minute massages (book yours by registering!)


Free wifi, meeting & tablespace


Pressed juices you can’t find at Moscone, plus lunch that doesn’t come in a box


Promotional giveaways 


Much more!


Andy Paul weighs in on Sales AccelerationTuesday, Nov 7th @ 12:30pm - 2:00pm
Join us for lunch while our CEO, Matthew Bellows, interviews Andy Paul about sales trends and their impact on Sales Acceleration.
Investors’ Perspective: What Makes Sales Orgs Succeed vs Fail?Wednesday, Nov 8th @ 4:00pm - 5:30pm
If you’re tired of technical sessions, come listen to our panel of investors divulge top successes they’ve witnessed in high growth sales teams — and pitfalls to avoid. Stay for drinks and networking after the panel wraps up.",Free
b'The Guardsmen Tree Lot Party',2017-12-16T20:00:00,2017-12-17T01:30:00," 

  The Guardsmen 
are excited to invite you to the 
Guardsmen Tree Lot Party 
Enjoy a hosted bar from 8pm–1:30am, dance, and mingle in an indoor winter wonderland.
 
Described as “THE party that everyone talks about for months,"" The Guardsmen Tree Lot Party brings together thousands of San Francisco’s glamorous and fun-loving party goers to raise funds for over 2,500 Bay Area at-risk youth. 
 
The Festival Pavilion, one of SF's largest venues, will be transformed into a winter wonderland that will leave you awestruck. Beautiful Christmas trees line the entry as you make your way to your complimentary champagne. Have your picture taken with all your friends at the step and repeat or grab some fun snaps at one of the themed photo booths. 
 
Grab a drink from one of six bars are staffed with over 100 volunteer bartenders so you never have to wait for a drink. Then make your way to one of the largest dance floors in all of San Francisco and enjoy the show.

One of the most magical nights of the year is only weeks away. 
Be sure to get your ticket today!

All proceeds go to benefit at-risk Bay Area kids: The Guardsmen make a life-changing difference in the lives of at-risk youth by raising funds for scholarship, campership, and other youth programs. Learn more at www.guardsmen.org
Cocktail Attire Strongly Suggested 
 

 
Relive the Tree Lot Party Magic   
 

 

 
 
 

 

 
PRESS COVERAGE


 

     
      

 
SPONSORS
 
                 
 
   
    
 


FAQs
 
Who are The Guardsmen? Why is this a benefit? Every year The Guardsmen changes lives across the Bay Area by sending more than 2,500 at-risk youth to outdoor education programs and by providing scholarships for more than 250 students to attend private schools. Learn more about The Guardsmen
 
What should I wear? Cocktail attire is highly suggested. Because it is chilly in San Francisco, you can wear a jacket and leave it in our complimentary coat check while you enjoy the night's festivities. 
 
Are there ID requirements or an age limit to enter the event?
Guests must be 21 or older to attend; both scannable tickets and valid government ID's are required at the door for check-in - no exceptions.    
How should I get to the Tree Lot Party?Parking is limited at Fort Mason. Please consider taking a ride-sharing service such as Uber or Lyft, or a taxi.
What is the refund policy?While tickets are non-refundable, you may transfer your ticket to a friend on Eventbrite. You can transfer your event ticket to someone else just by updating your order information with the new attendee's information. Log into Eventbrite, click Tickets (under your name in the top right), and follow this screenshot.  
May I upgrade my ticket (e.g. GA to VIP)?
Yes, please transfer to the other ticket type in Eventbrite. Log into Eventbrite, click Tickets (under your name in the top right), and follow this screenshot.   
What does it take to put on The Guardsmen Tree Lot Party?
Last year we filmed a brief video on what it takes to put on this famous event.
 
What's The Guardsmen's IRS status and the Fair Market Value of the event?The Guardsmen is a registered 501 (c) (3) nonprofit corporation. In exchange for each ticket, the donor will receive $65 for GA, $115 for VIP, and $1000 for Platinum VIP, and $1500 for an Ultra VIP Private On-Stage Table. in goods and services. The amount of the ticket price less the Fair Market Value is tax deductible. Donations are greatly appreciated and highly encouraged but are separate from ticket purchases. Only a ticket purchase grants the ticket holder entrance to the event. Separate donations alone can not qualify for entrance.
To learn about event sponsorship opportunities: Contact the event hosts with any questions: info@guardsmen.org. 
 

 

 
Thank You for Supporting The Guardsmen!  
 
guardsmen.org",Paid
b'ZHU: BLACKLIZT NYE at 1015 Folsom',2017-12-31T22:00:00,2018-01-01T04:00:00," 
For Bottle Service Inquiries, please contact BottleService@1015.com
 

 
Zhu, Crossroads Nightlife, DJ Dials & 1015 Folsom present
ZHU:
A BLACKLIZT New Year's Eve Event+ much more TBA 
 
 
A once in a lifetime event. ZHU’s first BLACKLIZT event on the west coast.
 
Limited tickets available, limited capacity.
 
BLACK ATTIRE ONLY - Please Dress Accordingly.
 
5 rooms of music.

 
Sunday December 31st / 10pm - 4am / 21+




ZHU 
Facebook  Twitter  Soundcloud
In an ever shifting social landscape of elusive artists, ZHU is a unique voice making a name for himself without having mentioned it.  He quietly released his worldwide hit, ‘Faded’, which catapulted him into the spotlight, making him the first anonymous artist to be nominated for a Grammy. He continued to build the hype with two bodies of work before his first full length album. ZHU’s initial EP, THE NIGHTDAY, was a solo project, showcasing the raw talent and unique sounds of the budding artist. ZHU then recruited an eclectic group (Bone Thugs N Harmony, Skrillex, Trombone Shorty, and other world-class artists) for his 2015 Genesis Series EP project. Bound by no genre, the collection of songs paid homage to the great musicians that inspired ZHU with new age production and sonic design.  Dubbed “one of the most musically sophisticated of the current generation of dance music producers” by The New York Times, critics and fans His closing set in the Sahara tent at Coachella garnered comparisons to legends such as Daft Punk. Nearing 500M online streams, ZHU’s audience continues to rapidly grow.   Following topical remixes of Migo’s chart-topping “Bad and Boujee,” and Gorillaz “Andromeda,” 2017 saw the launch of ZHU's Blacklizt party concept and his hotly anticipated new EP stardustexhalemarrakechdreams featuring the standout ""Dreams"" collaboration with Nero.

ZHU - Paradise Awaits
Plays: 1,765,204



Tickets: After purchasing a ticket through Eventbrite, you will receive an email with your tickets attached as a PDF. Please PRINT out your tickets and bring them with you on the night of the event. By purchasing a ticket you agree to receive periodic email communication from 1015 Folsom. Presale tickets must be redeemed by 1:30am. All events are 21+ | Please bring valid identification | NO REFUNDS ",Paid
b'Art for the People by Justin BUA - San Francisco',2017-11-18T14:00:00,2017-11-18T18:00:00,"Once a year artist Justin BUA takes his work to the streets to give back to the people. Offering FREE prints and rare, collectable paintings. BUA will sign on site as he showcases his historically rich hip hop artwork.",Free
b'2017 The North Face Endurance Challenge - California (November 18-19)',2017-11-18T05:00:00,2017-11-19T12:00:00,"The North Face Endurance Challenge returns to the Bay Area. Located in the visually stunning Marin Headlands, The North Face Endurance Challenge Championship course engages runners with both scenic views and drastic elevation change. You won't want to miss out on this trail running event that draws participants ranging from first time racers to elite runners.
New for 2017: 
50 Mile, 50K, Marathon and Half Marathon runners will start at a new location in Marin and follow a similar course routes as in previous years before making their way across the Golden Gate Bridge to the new Finish Line Festival at Crissy Field. 
The Marathon Relay, 10K and 5K will start in Crissy field and follow a newly designed course through the Presidio before finishing back at Crissy field.
For more information on the California race please visit the following pages for detailed event information:

Race Home
Race Registration
Packet Pickup
Course Guides
Event Weekend
Event Parking & Lodging
Volunteer Information
Race Results
FAQ's

Join ViPeak Rewards.
If you have any questions please e-mail us at endurancechallenge@publicishawkeye.com.",Paid
b'getgeeked San Francisco 2017 Consumer Showcase',2017-11-15T18:00:00,2017-11-15T21:00:00,,Free
b'dg expo / San Francisco / November 2017',2017-11-19T11:30:00,2017-11-20T17:00:00,"dg expo
FABRIC & TRIM SHOW offering LOW-MINIMUMS + STOCK
This is a trade event not open to the public. This is a wholesale fabric & trim show.  Please see additional details on our website go to Attendee/Buyer Info  or write to us for additional attendee information
Show Dates: November 19-20, 2017
Location & Hours:  San Francisco
San Francisco Hilton Hotel Financial District/ Chinatown, 750 Kearny Street
Exhibit Days & Hours: Sunday, November 19 - 11:30AM to 6:30PM and
Monday, November 20 - 9:00AM to 5:00PM
Seminar Days:  Saturday/ Sunday/ Monday 
Admission to the show is FREE, please register in advance. There is a fee to attend seminars. Refund requests for seminar fees must be make in writing, and confirmed, 3 days prior to the show.
A 2 day Textile & Trimmings exhibit & 2 day Seminar Program for Designers, Small Manufacturers (producing Apparel, Accessories, Homefurnishings,  other Sewn Products), plus Private Label Retailers, Fabric Stores, Event/Party Planners.  Exhibitors are Wholesale Suppliers (including Mills, Converters, Importers, and Distributors) who have low minimums, and many have in-stock fabric and trims. For additional information go to our website www.dgexpo.net details, and announcements, including seminar presentations.
READ MORE at www.dgexpo.net or write to info@dgexpo.net  / dgexpocorp@gmail.com",Paid
"b""G-EAZY's NORCAL FIRE RELIEF FUNDRAISER""",2017-11-09T22:00:00,2017-11-10T02:00:00,"
1015 Folsom & G-Eazy Present
A NorCal Fire Victim Relief Fundraiser
with G-EAZY
100% of Proceeds Go To Charity
Performances by G-Eazy Tony Tone | DJ Amen | Aux CordDaghe | Syk Wid It | ThruliveShabazz | Quiz | Sean G 
Thursday November 9th / 10PM - 2AM / 21+



G-EAZY 
Facebook  Twitter  Soundcloud
Arriving on-stage with a pompadour and a leather jacket, G-Eazy became known as ""the James Dean of rap,"" but his music is much less troubled than that name might imply, having crossed over to the mainstream with his reinterpretation of the rock & roll classic ""Runaround Sue."" Born Gerald Earl Gillum in Oakland, California, G-Eazy launched his career while still in college at Loyola University in New Orleans, heading up a hip-hop crew named the Bay Boyz while dropping his solo debut, The Epidemic LP, in 2009. Two years later, his mixtape The Endless Summer landed with that hit redo of Dion's ""Runaround Sue."" In 2012 he released his second LP, Must Be Nice, hitting the road with Hoodie Allen and joining the Vans Warped Tour. In 2014 he returned with his first major-label release, These Things Happen (RCA). As his popularity grew in the following year, he embarked on an extensive international tour and recorded his fourth album. When It's Dark Out was released in late 2015 and included a hit duet with Bebe Rexha, ""Me, Myself & I."" Dark would go on to peak at number five on the Billboard 200 and top the R&B/Hip-Hop chart. In the summer of 2016, while on tour with Logic, YG, and Yo Gotti, Eazy appeared on Britney Spears' comeback single ""Make Me,"" which entered the Top 20 of the Hot 100. ""Some Kind of Drug,"" his single featuring Marc E. Bassy, arrived at the end of the year and would enter the singles charts in early 2017. At the beginning of the year, G-Eazy also teamed up with Carnage for the EP Step Brothers.

G-Eazy x Bebe Rexha - Me, Myself & I
Plays: 258,135,642

Help us raise $30,000 for those affected by the NorCal Fires. 100% of all proceeds go to charity!
On Sale Tuesday 11.07 – 4PM pst

Tickets: After purchasing a ticket through Eventbrite, you will receive an email with your tickets attached as a PDF. Please PRINT out your tickets and bring them with you on the night of the event. By purchasing a ticket you agree to receive periodic email communication from 1015 Folsom. Presale tickets must be redeemed by 1:30am. All events are 21+ | Please bring valid identification | NO REFUNDS ",Paid
b'Blavity x Toasted Life: The FADE - Afrotech Celebration ft. Sonny Digital',2017-11-11T21:00:00,2017-11-12T02:00:00,"THE FADE. 
Join us for what will be one of the most memorable experiences of the year, The Blavity AFROTECH celebration brought to you by Toasted Life
Influencers, innovators, entrepreneurs and tastemakers united all under one roof for a night of celebration, achievement and immaculate vibes.
Sounds | Sonny Digital & Golden State Warriors Official DJ D Sharp 
You ready or what?! 
Dress code is sexy and stylish, champagne will be popped, and the turn up will be the realest! 
 - #Toasted",Paid
"b""Holiday Lights: The Presidio's Traditional Tree-Lighting Ceremony""",2017-12-08T17:00:00,2017-12-08T18:30:00,"Gather at the tree and sing holiday classics along with the Golden Gate Carolers—the tree lights up right at 5:30pm. Light refreshments and kids activities will follow in the Presidio Community Y gymnasium, and don’t miss the lantern-lit evening forest walk at 6:30 pm. Partners include the Presidio Y, National Park Service, US Park Police, SF Fire Department, Presidio Residences, and Art Seed.
5 pmEvent kicks off outside at the tree with Golden Gate Carolers.Meet & greet on Funston St with USPP horses and SFFD fire truck
5:30 pmTree lighting
5:30 to 6:30 pmFree Activities in the Presidio Y Gym
6:30 pmLantern Walk leaves the Y Gym
6:45 pmEvent closes",Free
"b""Hot Water Music @ Slim's   w/ Dead To Me, Racquet Club""",2018-01-06T19:00:00,2018-01-06T23:59:00,"Please note that our show has been rescheduled to Sat. Jan. 6. All original tickets will be honored, or if you are unable to make the new date, refunds are available at place of purchase.
 
TICKET INFORMATION 
• Slim's is an ALL AGES (6+) venue.
• No refunds or exchanges are permitted, except in the case of headliner cancellation or date change. Opening acts are subject to change.
• There is an 8 ticket limit per customer unless otherwise stated.
• NEVER buy third party tickets (Craigslist, StubHub, etc.) for over face value. Scalped tickets may not be honored.
• Once you purchase, you will receive an order confirmation email from Eventbrite on behalf of Slim’s Presents.
• IMPORTANT: If you do not see your order confirmation in your inbox, make sure to check your junk/spam folder. If you still do not see your order confirmation, click here to access the Eventbrite help center.
• If you are having any other technical ticketing-related issues with your order, click here to contact Eventbrite. For general show info, click here.
",Paid
"b""Propagandhi @ Slim's   w/ RVIVR, Bad Cop / Bad Cop - SOLD OUT!""",2017-11-13T19:00:00,2017-11-13T23:59:00,"Door 7 / Show 8
Since forming in Manitoba in 1986, Propagandhi have brought an emphatic anti-fascist message to their music. Along with addressing a number of personal losses suffered in recent years, Victory Lap, the band's first full-length since 2012's Failed States, finds the band facing a landscape in which fascism is—among a certain crowd—suddenly trendy.
Victory Lap also marks Propagandhi’s first album with new guitarist Sulynn Hago, who joins Samolesky, frontman Chris Hannah, and bassist Todd Kowalski. Replacing longtime guitarist David Guillas (who appears on several tracks on Victory Lap), Hago was added to the lineup after Propagandhi put out a call for audition tapes and received over 400 responses.
TICKET INFORMATION 
• Slim's is an ALL AGES (6+) venue.
• No refunds or exchanges are permitted, except in the case of headliner cancellation or date change. Opening acts are subject to change.
• There is an 8 ticket limit per customer unless otherwise stated.
• NEVER buy third party tickets (Craigslist, StubHub, etc.) for over face value. Scalped tickets may not be honored.
• Once you purchase, you will receive an order confirmation email from Eventbrite on behalf of Slim’s Presents.
• IMPORTANT: If you do not see your order confirmation in your inbox, make sure to check your junk/spam folder. If you still do not see your order confirmation, click here to access the Eventbrite help center.
• If you are having any other technical ticketing-related issues with your order, click here to contact Eventbrite. For general show info, click here.
",Paid
b'Out in Tech SF | Fall Social',2017-11-15T18:00:00,2017-11-15T22:00:00,"Join us on Wednesday, November 15 at Oasis to catch up, grab a drink, and network your way into the holidays! Bring a friend and make some new ones! 

Eventbrite RSVPs are required and free.
Featured Cocktails + $5 Well Drinks
Must be 21 or older to attend.  ",Free
"b""Grace VanderWaal - Just The Beginning Tour @ Slim's - SOLD OUT!""",2018-02-20T19:00:00,2018-02-20T23:59:00,"Door 7 / Show 7:30
Grace captured the hearts of America with her unique singer-songwriter talent, performing all original music during the America’s Got Talent competition using her signature ukulele. Grace’s AGT audition clip featuring her song “I Don’t Know My Name” went viral and is approaching 200 million views, with rock star Stevie Nicks commenting, ""She reminds me a lot of me in a lot of ways...Whatever happens, Grace is going to the top."" The young breakout star has received celebrity praise from the likes of Jason Mraz, Katy Perry, Reese Witherspoon, Shawn Mendes and Taylor Swift. Signed to Columbia Records and Syco Music, Grace released her debut EP Perfectly Imperfect in 2016, which debuted in the Top 10 on Billboard’s Top 200 Albums chart and became the best-selling EP of the year.
Grace made an appearance at Teen Choice 2017 where she won the award for Choice Next Big Thing. In March, Grace received the 2017 Radio Disney Music Award for The Freshest - Best New Artist. She is also recognized in Variety’s Youth Impact Report 2017, the annual list of young stars — 25 years old and under —that encompasses talent from all platforms.
TICKET INFORMATION 
• Slim's is an ALL AGES (6+) venue. • No refunds or exchanges are permitted, except in the case of headliner cancellation or date change. Opening acts are subject to change. • There is an 8 ticket limit per customer unless otherwise stated. • NEVER buy third party tickets (Craigslist, StubHub, etc.) for over face value. Scalped tickets may not be honored. • Once you purchase, you will receive an order confirmation email from Eventbrite on behalf of Slim’s Presents. • IMPORTANT: If you do not see your order confirmation in your inbox, make sure to check your junk/spam folder. If you still do not see your order confirmation, click here to access the Eventbrite help center. • If you are having any other technical ticketing-related issues with your order, click here to contact Eventbrite. For general show info, click here.",Paid
b'Aquarium 45',2017-12-05T21:00:00,2017-12-05T23:00:00,"Legendary Russian rock band Aquarium celebrates it's 45th anniversary with a very special tour. Become part of it on December 5th, 2017 at the Palace of Fine Arts Theatre in San Francisco.
 
FAQs
 
What's the refund policy?
All ticket sales are final. 
 ",Paid
b'San Francisco 2018 Hiring Event',2018-05-23T10:00:00,2018-05-23T13:00:00,"Meet face to face with top employers hiring for Sales, Customer Service,  Dispatcher, Retail, Financial Services, Management, I.T., Healthcare, Government,  Education, Accounting and more. 

If you have been looking for a new career or just ready to start a new job you don't want to miss this exciting hiring event. 


Professional Dress is required and bringing additional copies of your resume is strongly recommended. 

What to expect at a Nationwide Career Fair? 


Multiple employers hiring for open positions throughout the Bay Area. 


Great Networking opportunities in a relaxed, professional environment


Face to face meetings with recruiters, managers and human resources professionals


100% free event to attend


Register to receive a full list of attending employers and job updates in your city: 
http://www.nationwidecareerfairs.com/candidates/ 
",Free
b'MARKUS SCHULZ (Open To Close) at 1015 FOLSOM',2017-12-29T21:00:00,2017-12-30T05:00:00,"
TranceFamily, DJ Dials & 1015 Folsom Present
MARKUS SCHULZ  OPEN TO CLOSE SET 
8 HOURS OF MARKUS SCHULZ - ARE YOU READY?
 
Friday December 29th / 9PM - 5AM / 21+




Markus Schulz 
Facebook  Twitter  Soundcloud
Forged in the fires of Arizona’s seminal 90s rave scene, Schulz first went state, then with equal speed national and international. From the building blocks of progressive, trance & house, he crafted early anthems like ‘The New World’ and latter-day ones like ‘Destiny’. Caught between have been a half-dozen revered albums (most recently ‘Watch The World’), a convoy of club hits and thousands of transfixing performances, played out before untold millions. He’s helmed the scene-essential Coldharbour label for 11 years, chaired the Global DJ Broadcast radio show for 15 and remixed everyone from Moroder to Madonna. His floor-bound adventures have met with equal acclaim. Through his effortless audience affinity, flawless mixing, instinctive tune selection and now famous, stylistically vast open-till-close sets, he has wowed crowds in every major city on Earth. Markus has scaled the upper reaches of the world’s DJ rankings and charts; is a two-time winner of DJ Times’ America’s Best DJ crown and has drawn acclaim from every electronic music portal & press outlet on the planet. A regular fixture at the world’s biggest & most famous clubs, arenas and festival stages, weekly, he lays down his inimitable musical vision. In Europe, he’s floored audiences at events like Transmission, Electronic Family, Nature One and Dance Valley. He’s creamed Creamfields; gridlocked Global Gatherings and hosted his own stage at Tomorrowland. Stateside, EDC, Ultra, Nocturnal and numerous others have similarly all felt Schulz pressure. His legendary open-till-close sets, at spots like Space, Miami, LA’s Avalon, Stereo, Montreal, Amnesia, Ibiza and his International Residency at Ministry Of Sound have become rites of passage for music lovers around the world.  His most recent album ‘Watch The World’ (his sixth) included the Beatport #1 hit ‘Destiny’ and ‘Facedown’, his boundary-breaking team-up with Romanian quartet Soundland. Both stylistically and artistically, the album was a significant departure for Schulz. With more of a radio edge, it saw Markus take a lead role in its song writing process for the first time. A commercial and critical hit, ‘WTW’ reached the #1 position on iTunes’ international dance chart. The UK’s DJ Mag described it as “ambitious”, “expeditionary”, and “content-wise, for someone from his ‘bloc’, without precedent”. Giving it their Album of the Month accolade, MIXMAG called it “a work of art”. Dancing Astronaut saluted ‘Watch The World’s “meaningful lyrics played out with live instruments”, “that captured his (Markus’) authenticity as an artist”. Hailing its “impressive vocalists”, YourEDM.com summed it up simply as “a monumental release”.

Cosmic Gate & Markus Schulz - AR [Official Music Video]
Plays: 11,523

Tickets: After purchasing a ticket through Eventbrite, you will receive an email with your tickets attached as a PDF. Please PRINT out your tickets and bring them with you on the night of the event. By purchasing a ticket you agree to receive periodic email communication from 1015 Folsom. Presale tickets must be redeemed by 1:30am. All events are 21+ | Please bring valid identification | NO REFUNDS ",Paid
b'POPNYE',2017-12-29T19:00:00,2018-01-01T04:00:00,"RSVP @ bit.ly/PopNye18
Friday 12/29 + Saturday 12/30 + Sunday 12/31 
GA 18+! 
VIP 21+! 

Dedicated expedited entry 
Separate VIP area with music
VIP full bar, first drink included on us
Complimentary snack and hors d'oeuvres
Signature VIP discount cocktail 
Viewing platforms on main floor (limited space)


SKILLS is beyond happy to announce its long-awaited return with three nights of magic as we ring in the new year at the Armory San Francisco!
FULL LINE-UP COMING SOON ... stay tuned!
POPNYE.COM
FACEBOOK.COM/SKILLSDJ
INSTAGRAM.COM/SKILLSDJ


TICKETS: After completing your purchase on Eventbrite, you will receive an email confirmation with your attached PDF ticket(s).  You MUST print and bring your PDF tickets AND ACCEPTABLE PHOTO IDENTIFICATION to be admitted for the event. You may download the Eventbrite app and show your ticket on your mobile device for entry instead of printing.
NO REFUNDS | ALL SALES FINAL | LINE-UP SUBJECT TO CHANGE

For any Venue related questions, please go to www.sfarmory.com/faq.",Paid
b'TEKKEN World Tour Finals Presented by Nissin Cup Noodles',2017-11-12T12:00:00,2017-11-12T22:00:00,"The TEKKEN World Tour Finals Presented by Nissin Cup Noodles Takes Place November 12 in San Francisco at City View at Metreon! 

Since June, TEKKEN 7 players have been competing across the globe in the TEKKEN World Tour presented by Nissin Cup Noodles, to prove they represent the “Best of the Best” TEKKEN 7 players from the Americas, Europe, and Asia-Pacific regions. On November 12, 2017, BANDAI NAMCO Entertainment Inc., in conjunction with Twitch and Nissin Cup Noodles, will assemble 16 of the world’s best TEKKEN 7 players (the top five from each region’s leaderboard along with the reigning Evolution Championship Series champion) to battle it out in the TEKKEN World Tour Finals at City View at Metreon in San Francisco, CA. These elite players will gather together for the first TEKKEN World Finals held in the United States to compete and determine who is truly the best TEKKEN 7 player in the world! With $50,000 in prize money and eternal bragging rights on the line, who will rise to the top and be crowned the World Champion?
As an added bonus, attendees of the TEKKEN World Tour Finals will have the exclusive opportunity to experience the upcoming TEKKEN 7 DLC character Geese Howard prior to his availability to players around the globe! Attendees will also get to checkout TEKKEN merchandise vendors, witness an exciting Finals showcase, and participate in a meet-and-greet with TEKKEN franchise Director Katsuhiro Harada and Senior Game Designer Michael Murray.

For more information visit www.tekkenworldtour.com 
Doors open at noon, 12:00 PM PT
Competition starts at 1:00 PM PT
Event is scheduled to end at 10:00 PM PT

**Newly Added Details**

We’re excited to announce the DRAGON BALL FighterZ Exhibition Match for the @TEKKEN World Tour Finals!  Watch Maximilian, SonicFox, D1, and Perfect Legend compete in the highly anticipated new fighting game!  DRAGON BALL FighterZ demo stations will also be available for free play all night long.

We are also pleased to announce the that the following vendors will be onsite with goods available for purchase: HORI, FiGPin, QANBA, and BANDAI NAMCO Entertainment Store.

 

FAQs
Are there ID or minimum age requirements to enter the event?
The TEKKEN World Finals is an all-ages event.  Children who are under the age of 3 years old do not need a ticket a ticket.

Is there assigned seating at the event? 
Seating in the main tournament area is first come, first served, so make sure to arrive early to gaurantee yourself a great view of the action.  

What are my transportation/parking options for getting to and from the event?
The venue is located in the heart of SoMa and is walking distance to several major BART and bus stops. It's also right next to the largest parking garage in San Francisco which is located on 5th & Mission.
  
What are my food and dining options at the venue? 
Located in the heart of SoMa, there are numerous eateries and restaurants withing walking distance. 

Where can Iearn more about the TEKKEN World Tour? 
You can find more information regarding the TEKKEN World Tour by visiting the official website at www.tekkenworldtour.com 

Are there any hotels located near the venue? 
Reccomended accomodations are at the San Francisco Marriott Marquis Hotel, located across the street from City View at Metreon.


",Paid
b'THE FLOOZIES at 1015 FOLSOM',2017-11-11T22:00:00,2017-11-12T03:00:00,"SnowGlobe Music Festival, DJ Dials & 1015 Folsom Present
THE FLOOZIES  with THE FUNK HUNTERS MADDY O'NEAL
 
Saturday November 11th / 10PM - 2AM / 21+




THE FLOOZIES 
Facebook  Twitter  Soundcloud
The Floozies are producer/guitarist Matt Hill and drummer Mark Hill. These two brothers are bringing their fresh approach to electronic music and live performance to venues and festivals all over the country. The duo's combination of cutting edge electronic production and party rocking funk energizes crowds and turns venues into epic dance parties. All of The Floozies music can be downloaded for free from

The Floozies - Love, Sex, and Fancy Things
Plays: 250,531

Tickets: After purchasing a ticket through Eventbrite, you will receive an email with your tickets attached as a PDF. Please PRINT out your tickets and bring them with you on the night of the event. By purchasing a ticket you agree to receive periodic email communication from 1015 Folsom. Presale tickets must be redeemed by 1:30am. All events are 21+ | Please bring valid identification | NO REFUNDS ",Paid
b'David Feherty - Off Tour',2017-11-16T19:30:00,2017-11-16T22:30:00,"How do you describe the offbeat antics of David Feherty? The New York Times called him “a cross between Oprah Winfrey and Johnny Carson.” With a sharp wit and irreverent style, the professional golfer turned golf analyst, talk show host and sports broadcaster has made a name for himself as one of the most hilarious and irrepressible personalities in golf. Of Feherty’s live one-man show, Golf Digest said: “Uncensored and unhinged, and worth the price of admission. It really was stupendous.” The Pittsburgh Post-Gazette raves, “David Feherty was uproariously funny. It was two hours of zaniness and madcap storytelling. People were coming out of their seats with laughter.”",Paid
b'7th Annual michaelforce.org Cigar Shindig sponsored by Domo',2017-11-09T15:00:00,2017-11-09T18:00:00,"As Dreamforce is wrapping up let’s close the week out right! Relax and unwind after the conference with friends, cigars, food, and drinks. Register now, it’s complimentary, and bring your badge to the event to get in. For information about the event, contact @michaelforce on twitter and use #df17cigars when tweeting.
 
About our sponsor:



Domo helps all employees – from the CEO to the front-line worker – optimize business performance by connecting them to the right data and people they need to improve business results. Domo’s Business Cloud is the world’s first customizable platform that enables decision makers to identify and act on strategic opportunities in real time. The company works with the world’s leading and most progressive brands across multiple industries including retail, media and entertainment, manufacturing, finance and more. For more information, visit www.domo.com.

Have questions about 7th Annual michaelforce.org Cigar Shindig sponsored by Domo? Contact michaelforce",Free
